target,target_institution,k,seed,auc,f1_at_0.5
ukzn_ISTN101_2020,UKZN,0,3,0.6889128094725512,0.6916666666666667
ukzn_ISTN101_2020,UKZN,25,3,0.5668162983425414,0.9124423963133641
ukzn_ISTN101_2020,UKZN,50,3,0.5755427826212959,0.9323308270676691
ukzn_ISTN101_2020,UKZN,100,3,0.6020749199275868,0.9405339805825242
ukzn_ISTN101_2020,UKZN,0,4,0.688989697062894,0.6916666666666667
ukzn_ISTN101_2020,UKZN,25,4,0.5986648250460405,0.9025522041763341
ukzn_ISTN101_2020,UKZN,50,4,0.5483734634240587,0.9101654846335697
ukzn_ISTN101_2020,UKZN,100,4,0.6155795651593973,0.9576624925462135
ukzn_ISTN101_2021,UKZN,0,0,0.7254764245914688,0.8241206030150754
ukzn_ISTN101_2021,UKZN,25,0,0.715923383293156,0.8368554522400676
ukzn_ISTN101_2021,UKZN,50,0,0.7255764904386952,0.8451443569553806
ukzn_ISTN101_2021,UKZN,100,0,0.7305544859453215,0.9081272084805654
ukzn_ISTN101_2021,UKZN,0,1,0.7240717329212905,0.8231349538977368
ukzn_ISTN101_2021,UKZN,25,1,0.6442096844929444,0.8447412353923205
ukzn_ISTN101_2021,UKZN,50,1,0.6530887399901945,0.87248322147651
ukzn_ISTN101_2021,UKZN,100,1,0.6844390753558836,0.9251934651762683
ukzn_ISTN101_2021,UKZN,0,2,0.7252188977852695,0.8241206030150754
ukzn_ISTN101_2021,UKZN,25,2,0.6624006417268286,0.8317836010143702
ukzn_ISTN101_2021,UKZN,50,2,0.6368201925578975,0.8598290598290599
ukzn_ISTN101_2021,UKZN,100,2,0.6813836835131554,0.9073593073593074
ukzn_ISTN101_2021,UKZN,0,3,0.7240717329212903,0.8241206030150754
ukzn_ISTN101_2021,UKZN,25,3,0.702809016474302,0.8281786941580757
ukzn_ISTN101_2021,UKZN,50,3,0.6875402274190088,0.867003367003367
ukzn_ISTN101_2021,UKZN,100,3,0.6516462388848836,0.9267059814658803
ukzn_ISTN101_2021,UKZN,0,4,0.7239897925738634,0.8241206030150754
ukzn_ISTN101_2021,UKZN,25,4,0.6891092039064812,0.8439597315436241
ukzn_ISTN101_2021,UKZN,50,4,0.6549440541243821,0.9061488673139159
ukzn_ISTN101_2021,UKZN,100,4,0.5860069694784908,0.9336691855583543
ukzn_ISTN102_2018,UKZN,0,0,0.6218876439464674,0.7277936962750716
ukzn_ISTN102_2018,UKZN,25,0,0.6163838558143994,0.7156549520766773
ukzn_ISTN102_2018,UKZN,50,0,0.6056140350877193,0.7247386759581882
ukzn_ISTN102_2018,UKZN,100,0,0.6038687973086627,0.7692307692307693
ukzn_ISTN102_2018,UKZN,0,1,0.6188530967942732,0.7277936962750716
ukzn_ISTN102_2018,UKZN,25,1,0.6217042606516291,0.6885245901639344
ukzn_ISTN102_2018,UKZN,50,1,0.6113696808510638,0.6928571428571428
