target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_at_0.5
ukzn_ISTN103_2020,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,1082,0.6574884222831708,0.6243969676085458
ukzn_ISTN211_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,280,0.7956241177656785,0.9607476635514018
ukzn_ISTN211_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,280,0.6107078039927404,0.15492957746478872
ukzn_ISTN211_2021,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,327,0.7844402277039848,0.9733124018838305
ukzn_ISTN211_2021,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,327,0.8008538899430739,0.7107438016528925
ukzn_ISTN212_2018,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,238,0.7722000937207123,0.8981481481481481
ukzn_ISTN212_2018,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,238,0.7556232427366448,0.7439024390243902
ukzn_ISTN212_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,264,0.7555233805233806,0.9173553719008265
ukzn_ISTN212_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,264,0.7132668382668383,0.6139817629179332
ukzn_ISTN2IP_2018,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,99,0.6972972972972973,0.8554913294797688
ukzn_ISTN2IP_2018,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,99,0.6624324324324324,0.5871559633027523
ukzn_ISTN2IP_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,116,0.7142857142857143,0.8669950738916257
ukzn_ISTN2IP_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,116,0.577922077922078,0.20408163265306123
ukzn_ISTN3ND_2018,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,144,0.5765275257108288,0.7478260869565218
ukzn_ISTN3ND_2018,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,144,0.5060496067755597,0.4827586206896552
ukzn_ISTN3ND_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,223,0.6571863890299645,0.8872180451127819
ukzn_ISTN3ND_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,223,0.7006094464195023,0.6807017543859649
ukzn_ISTN3SA_2018,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,141,0.6824324324324323,0.8844621513944223
ukzn_ISTN3SA_2018,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,141,0.5753753753753753,0.651685393258427
ukzn_ISTN3SA_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,gradient_boosting,195,0.6203529411764706,0.931129476584022
ukzn_ISTN3SA_2019,UKZN,P_out_other_institutions,14,zscore,gradient_boosting,195,0.5941176470588235,0.6788321167883211
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1767,0.861117283216982,0.7842914058053501
oulad_BBB_2013B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1767,0.8340339391183477,0.6249027237354086
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,2237,0.865422618666325,0.7748251748251749
oulad_BBB_2013J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,2237,0.8331577093075395,0.6479298881837413
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1613,0.8668877945482378,0.7777057679844459
oulad_BBB_2014B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1613,0.8399767435361625,0.6213675213675214
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,2292,0.8655606572855752,0.7902187902187903
oulad_BBB_2014J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,2292,0.8383044742933724,0.6689895470383276
oulad_DDD_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1303,0.8409959696362781,0.739329268292683
oulad_DDD_2013B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1303,0.8236258437801349,0.5626034197462769
oulad_DDD_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1938,0.8636433348815101,0.7826520438683948
oulad_DDD_2013J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1938,0.8479552645805075,0.5992049150704735
oulad_DDD_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1228,0.86413338870756,0.7651579846285226
oulad_DDD_2014B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1228,0.8396637409378128,0.5612185120093731
oulad_DDD_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1803,0.8584022719779396,0.7681239623685667
oulad_DDD_2014J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1803,0.841507308495439,0.6104046242774567
oulad_FFF_2013B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1614,0.8456819914420618,0.7770626097132827
oulad_FFF_2013B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1614,0.8250218252016526,0.6527545909849749
oulad_FFF_2013J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,2283,0.8783074273941853,0.8052946199829206
oulad_FFF_2013J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,2283,0.8501506695570623,0.6483126110124334
oulad_FFF_2014B,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,1500,0.8757202449375004,0.7869940278699403
oulad_FFF_2014B,OULAD,P_out_other_institutions,18,zscore,logistic_regression,1500,0.8500950687169698,0.6072423398328691
oulad_FFF_2014J,OULAD,P_in_leave_one_cohort_out,11,zscore,logistic_regression,2365,0.9053034541927782,0.8325041459369817
oulad_FFF_2014J,OULAD,P_out_other_institutions,18,zscore,logistic_regression,2365,0.885768527764387,0.6415852958070075
ku_Accountancy_1819,KU Leuven,P_in_leave_one_cohort_out,1,zscore,logistic_regression,756,0.6561581920903955,0.7894273127753304
ku_Accountancy_1819,KU Leuven,P_out_other_institutions,28,zscore,logistic_regression,756,0.6298932831136221,0.7705069124423963
ku_Globaleconom_1819,KU Leuven,P_in_leave_one_cohort_out,1,zscore,logistic_regression,743,0.610518954729481,0.7120418848167539
ku_Globaleconom_1819,KU Leuven,P_out_other_institutions,28,zscore,logistic_regression,743,0.6213397129186602,0.668141592920354
ukzn_ISTN101_2019,UKZN,P_in_leave_one_cohort_out,15,zscore,logistic_regression,1056,0.6798588950937376,0.905876235049402
ukzn_ISTN101_2019,UKZN,P_out_other_institutions,14,zscore,logistic_regression,1056,0.6676991922616673,0.6430155210643016
ukzn_ISTN101_2020,UKZN,P_in_leave_one_cohort_out,15,zscore,logistic_regression,978,0.7541354539663013,0.9726890756302521
ukzn_ISTN101_2020,UKZN,P_out_other_institutions,14,zscore,logistic_regression,978,0.7277739944201579,0.6547277936962751
ukzn_ISTN101_2021,UKZN,P_in_leave_one_cohort_out,15,zscore,logistic_regression,741,0.795359835182844,0.9554770318021202
