feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,has_vle_activity_to_date,0.008931772479334181,0.005008118000832574,6.415775435071173e-05,0.32370347542297984,0.3232632534041195,higher values generally align with higher predicted final_grade,0.9214876033057852,1.0,positive_permutation_rmse_increase,0.008931772479334181,0.0003363971167822882,17
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cma_mastery_to_date,0.0,0.0,0.0,,,direction unclear,0.0,0.0,positive_permutation_rmse_increase,0.0,0.0,18
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cma_mastery_to_date_was_missing,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,19
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,course_week_progress,0.0,0.0,0.0005851277769222425,0.009099085963494274,-2.1336940643296422e-16,weak or mixed direction in held-out predictions,0.7763157894736842,0.3157894736842105,positive_permutation_rmse_increase,0.0,0.0,20
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,exam_mastery_to_date,0.0,0.0,0.0,0.1648610506320253,0.16906642913933978,higher values generally align with higher predicted final_grade,1.886593204775023,0.0,positive_permutation_rmse_increase,0.0,0.0,21
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,exam_mastery_to_date_was_missing,0.0,0.0,0.0,0.004390328671852791,3.511860233622437e-16,weak or mixed direction in held-out predictions,0.9444444444444444,1.0,positive_permutation_rmse_increase,0.0,0.0,22
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,has_assessment_score_to_date,0.0,0.0,5.602105382676241e-06,0.5851976624505572,0.6002962061346601,higher values generally align with higher predicted final_grade,0.7768595041322314,1.0,positive_permutation_rmse_increase,0.0,0.0,23
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,has_current_assessment_cluster,0.0,0.0,0.0,-0.0020314070918369402,8.843740298982301e-17,weak or mixed direction in held-out predictions,0.16666666666666666,0.0,positive_permutation_rmse_increase,0.0,0.0,24
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,has_due_assessment_to_date,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,25
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,has_weighted_score_to_date,0.0,0.0,0.0,0.5851976624505572,0.6002962061346601,higher values generally align with higher predicted final_grade,0.7768595041322314,1.0,positive_permutation_rmse_increase,0.0,0.0,26
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,is_registered_by_week,0.0,0.0,0.0,,,direction unclear,1.0,1.0,positive_permutation_rmse_increase,0.0,0.0,27
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,mastery_assessment_coverage_to_date,0.0,0.0,0.0005392042937436872,0.0009652273357635874,-7.802835250387887e-17,weak or mixed direction in held-out predictions,0.4611111111111111,0.1125,positive_permutation_rmse_increase,0.0,0.0,28
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,week_number,0.0,0.0,0.0009362015978297419,0.009099085963494926,6.444590354485664e-16,weak or mixed direction in held-out predictions,29.5,12.0,positive_permutation_rmse_increase,0.0,0.0,29
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,assessment_submission_rate_due_to_date,-0.005365873230218791,0.0010262903649069525,4.774869798393403e-05,0.864018294778199,0.8689094868616128,higher values generally align with higher predicted final_grade,0.6242142747824565,1.0,positive_permutation_rmse_increase,0.0,0.0,30
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,cumulative_assessment_clicks_to_date,-0.011171510490885458,0.007728524788576674,0.0023079581279990594,0.41113586656865125,0.39825106316709047,higher values generally align with higher predicted final_grade,8.778007346189165,3.0,positive_permutation_rmse_increase,0.0,0.0,31
B_lms_plus_mastery_oulad,temporal_forward,gradient_boosting,days_since_registration_start,-0.08845089372298638,0.01349342903711836,0.003615588548654391,-0.024495003097508586,-0.05933658045990469,weak or mixed direction in held-out predictions,296.5847107438017,164.0,positive_permutation_rmse_increase,0.0,0.0,32
C_twin_oulad,student_group,gradient_boosting,overall_mastery_proxy,9.814260417604627,0.07845550370694915,0.7403337011298621,0.958618601535993,0.8854190296828305,higher values generally align with higher predicted final_grade,47.1945550472255,54.09375,positive_permutation_rmse_increase,9.814260417604627,0.42749757526256016,1
C_twin_oulad,student_group,gradient_boosting,is_unregistered_by_week,3.7569527746303986,0.05576337455495093,0.007314000592003488,-0.6880027493994908,-0.6312192356109179,higher values generally align with lower predicted final_grade,0.26906729634002363,0.0,positive_permutation_rmse_increase,3.7569527746303986,0.16364841905452943,2
C_twin_oulad,student_group,gradient_boosting,tma_mastery_to_date,2.655042866894306,0.029409532965855342,0.12136834188783842,0.958417233528841,0.8851034233183515,higher values generally align with higher predicted final_grade,47.28983766233767,54.111111111111114,positive_permutation_rmse_increase,2.655042866894306,0.11565052683740566,3
C_twin_oulad,student_group,gradient_boosting,cumulative_submitted_weight_to_date,2.6074029400802745,0.03439610683662239,0.04827996427408644,0.6067016087956623,0.5613473337640021,higher values generally align with higher predicted final_grade,44.106404958677686,22.5,positive_permutation_rmse_increase,2.6074029400802745,0.11357538797496503,4
C_twin_oulad,student_group,gradient_boosting,current_week_clicks,0.9000253428227458,0.018036462497351004,0.010346760743817551,0.39747101777752547,0.3751308535672394,higher values generally align with higher predicted final_grade,22.49887839433294,0.0,positive_permutation_rmse_increase,0.9000253428227458,0.0392040393631094,5
C_twin_oulad,student_group,gradient_boosting,performance_index_oulad,0.8066935181279666,0.031381525638603615,0.013983657375965292,0.8300275167769298,0.7665236400682995,higher values generally align with higher predicted final_grade,0.5471341214418309,0.6564236111111111,positive_permutation_rmse_increase,0.8066935181279666,0.035138615474389456,6
C_twin_oulad,student_group,gradient_boosting,cumulative_assessment_weighted_score_to_date,0.5716798302817293,0.018654093062653115,0.009759435066248705,0.5084387541769423,0.47697797970746575,higher values generally align with higher predicted final_grade,70.78265607562656,72.11111111111111,positive_permutation_rmse_increase,0.5716798302817293,0.024901697211291245,7
C_twin_oulad,student_group,gradient_boosting,cumulative_clicks_to_date,0.5553175777244558,0.01873929755642871,0.012783941617630044,0.5598699585885732,0.5159940707231425,higher values generally align with higher predicted final_grade,687.6691263282172,397.0,positive_permutation_rmse_increase,0.5553175777244558,0.02418897684353731,8
C_twin_oulad,student_group,gradient_boosting,current_week_activity_types,0.3354732326964064,0.011014531962636168,0.0067202182922539,0.6519614398631147,0.6181529342477998,higher values generally align with higher predicted final_grade,2.093860684769776,0.0,positive_permutation_rmse_increase,0.3354732326964064,0.014612817210958978,9
C_twin_oulad,student_group,gradient_boosting,cumulative_social_clicks_to_date,0.23014399065245866,0.024034945989503387,0.0020814246111855814,0.5415356885273075,0.4996926883289708,higher values generally align with higher predicted final_grade,225.77077922077922,102.0,positive_permutation_rmse_increase,0.23014399065245866,0.010024800013324746,10
C_twin_oulad,student_group,gradient_boosting,cumulative_content_clicks_to_date,0.17530631015273562,0.010900618465284277,0.0022254429176741483,0.5426523230926922,0.49979880960893114,higher values generally align with higher predicted final_grade,450.6720779220779,274.0,positive_permutation_rmse_increase,0.17530631015273562,0.007636135514000575,11
