source,target,target_institution,distance,representation,rule,f1_fail,f1_fail_baseline,alert_rate,recall,precision,calibration_in_large
oviedo_C2271_1415,oulad_DDD_2013B,OULAD,D3_other_institution,raw,source_rate,0.6046511627906976,0.7566793893129771,0.41442824251726784,0.5081967213114754,0.7462962962962963,-0.1657921841742983
oviedo_C2271_1415,oulad_DDD_2013B,OULAD,D3_other_institution,percentile,fixed_0.5,0.4178537511870845,0.7566793893129771,0.1995395241749808,0.27742749054224464,0.8461538461538461,-0.23293678956158093
oviedo_C2271_1415,oulad_DDD_2013B,OULAD,D3_other_institution,percentile,source_rate,0.5881470367591898,0.7566793893129771,0.41442824251726784,0.4943253467843632,0.725925925925926,-0.23293678956158093
oviedo_C2271_1415,oulad_DDD_2013J,OULAD,D3_other_institution,raw,fixed_0.5,0.6437724243977447,0.7279291106005907,0.434468524251806,0.5662759242560865,0.7458432304038005,-0.06149397667630818
oviedo_C2271_1415,oulad_DDD_2013J,OULAD,D3_other_institution,raw,source_rate,0.6391213389121339,0.7279291106005907,0.41434468524251805,0.5509467989179441,0.7608966376089664,-0.06149397667630818
oviedo_C2271_1415,oulad_DDD_2013J,OULAD,D3_other_institution,percentile,fixed_0.5,0.4037308461025983,0.7279291106005907,0.20227038183694532,0.2732191163210099,0.7729591836734694,-0.19023277734288324
oviedo_C2271_1415,oulad_DDD_2013J,OULAD,D3_other_institution,percentile,source_rate,0.5690376569037657,0.7279291106005907,0.41434468524251805,0.4905320108205591,0.6774595267745953,-0.19023277734288324
oviedo_C2271_1415,oulad_DDD_2014B,OULAD,D3_other_institution,raw,fixed_0.5,0.6029629629629629,0.7577137076378352,0.48941368078175895,0.5433911882510013,0.6772046589018302,-0.0662203141998039
oviedo_C2271_1415,oulad_DDD_2014B,OULAD,D3_other_institution,raw,source_rate,0.5627980922098569,0.7577137076378352,0.4144951140065147,0.472630173564753,0.6954813359528488,-0.0662203141998039
oviedo_C2271_1415,oulad_DDD_2014B,OULAD,D3_other_institution,percentile,fixed_0.5,0.47746883988494726,0.7577137076378352,0.23941368078175895,0.3324432576769025,0.8469387755102041,-0.19916906253511207
oviedo_C2271_1415,oulad_DDD_2014B,OULAD,D3_other_institution,percentile,source_rate,0.6502384737678856,0.7577137076378352,0.4144951140065147,0.5460614152202937,0.8035363457760314,-0.19916906253511207
oviedo_C2271_1415,oulad_DDD_2014J,OULAD,D3_other_institution,raw,fixed_0.5,0.618030224075039,0.718550106609808,0.5036051026067665,0.5865479723046488,0.6530837004405287,-0.011140456293005307
oviedo_C2271_1415,oulad_DDD_2014J,OULAD,D3_other_institution,raw,source_rate,0.5927189988623436,0.718550106609808,0.41430948419301167,0.5153313550939663,0.6974564926372155,-0.011140456293005307
oviedo_C2271_1415,oulad_DDD_2014J,OULAD,D3_other_institution,percentile,fixed_0.5,0.47505270555165147,0.718550106609808,0.22850804215196893,0.334322453016815,0.8203883495145631,-0.15341734790148315
oviedo_C2271_1415,oulad_DDD_2014J,OULAD,D3_other_institution,percentile,source_rate,0.6689419795221843,0.718550106609808,0.41430948419301167,0.5816023738872403,0.7871485943775101,-0.15341734790148315
oviedo_C2271_1415,oulad_EEE_2013J,OULAD,D3_other_institution,raw,fixed_0.5,0.5686059275521405,0.5926421404682275,0.4448669201520912,0.5846501128668171,0.5534188034188035,0.10014100472567011
oviedo_C2271_1415,oulad_EEE_2013J,OULAD,D3_other_institution,raw,source_rate,0.571103526734926,0.5926421404682275,0.4144486692015209,0.5665914221218962,0.5756880733944955,0.10014100472567011
oviedo_C2271_1415,oulad_EEE_2013J,OULAD,D3_other_institution,percentile,fixed_0.5,0.5335120643431636,0.5926421404682275,0.2880228136882129,0.4492099322799097,0.6567656765676567,0.003841474569491077
oviedo_C2271_1415,oulad_EEE_2013J,OULAD,D3_other_institution,percentile,source_rate,0.571103526734926,0.5926421404682275,0.4144486692015209,0.5665914221218962,0.5756880733944955,0.003841474569491077
oviedo_C2271_1415,oulad_EEE_2014B,OULAD,D3_other_institution,raw,fixed_0.5,0.5710014947683109,0.6537342386032978,0.4783861671469741,0.5667655786350149,0.5753012048192772,0.0504554231016065
oviedo_C2271_1415,oulad_EEE_2014B,OULAD,D3_other_institution,raw,source_rate,0.5632,0.6537342386032978,0.414985590778098,0.5222551928783383,0.6111111111111112,0.0504554231016065
oviedo_C2271_1415,oulad_EEE_2014B,OULAD,D3_other_institution,percentile,fixed_0.5,0.504708097928437,0.6537342386032978,0.27953890489913547,0.39762611275964393,0.6907216494845361,-0.06311262697343639
oviedo_C2271_1415,oulad_EEE_2014B,OULAD,D3_other_institution,percentile,source_rate,0.5888,0.6537342386032978,0.414985590778098,0.5459940652818991,0.6388888888888888,-0.06311262697343639
oviedo_C2271_1415,oulad_EEE_2014J,OULAD,D3_other_institution,raw,fixed_0.5,0.56797583081571,0.5957446808510638,0.4116161616161616,0.5595238095238095,0.5766871165644172,0.0908591214461873
oviedo_C2271_1415,oulad_EEE_2014J,OULAD,D3_other_institution,raw,source_rate,0.570281124497992,0.5957446808510638,0.41414141414141414,0.5634920634920635,0.5772357723577236,0.0908591214461873
oviedo_C2271_1415,oulad_EEE_2014J,OULAD,D3_other_institution,percentile,fixed_0.5,0.5226480836236934,0.5957446808510638,0.3005050505050505,0.44642857142857145,0.6302521008403361,0.014284829174407987
oviedo_C2271_1415,oulad_EEE_2014J,OULAD,D3_other_institution,percentile,source_rate,0.5642570281124498,0.5957446808510638,0.41414141414141414,0.5575396825396826,0.5711382113821138,0.014284829174407987
oviedo_C2271_1415,oulad_FFF_2013B,OULAD,D3_other_institution,raw,fixed_0.5,0.5536384096024006,0.6802943581357318,0.3104089219330855,0.44350961538461536,0.7365269461077845,-0.07348113568716264
oviedo_C2271_1415,oulad_FFF_2013B,OULAD,D3_other_institution,raw,source_rate,0.6142571618920719,0.6802943581357318,0.4144981412639405,0.5540865384615384,0.6890881913303438,-0.07348113568716264
oviedo_C2271_1415,oulad_FFF_2013B,OULAD,D3_other_institution,percentile,fixed_0.5,0.4353146853146853,0.6802943581357318,0.19330855018587362,0.29927884615384615,0.7980769230769231,-0.1416992536753386
oviedo_C2271_1415,oulad_FFF_2013B,OULAD,D3_other_institution,percentile,source_rate,0.5769487008660893,0.6802943581357318,0.4144981412639405,0.5204326923076923,0.6472346786248132,-0.1416992536753386
oviedo_C2271_1415,oulad_FFF_2013J,OULAD,D3_other_institution,raw,fixed_0.5,0.59834065397755,0.6845289541918754,0.3771353482260184,0.515993265993266,0.7119628339140535,-0.03386518881697437
oviedo_C2271_1415,oulad_FFF_2013J,OULAD,D3_other_institution,raw,source_rate,0.6157450796626054,0.6845289541918754,0.4143670608848007,0.553030303030303,0.6945031712473573,-0.03386518881697437
oviedo_C2271_1415,oulad_FFF_2013J,OULAD,D3_other_institution,percentile,fixed_0.5,0.5209614309670206,0.6845289541918754,0.26325010950503724,0.39225589225589225,0.7753743760399334,-0.10329109074576837
oviedo_C2271_1415,oulad_FFF_2013J,OULAD,D3_other_institution,percentile,source_rate,0.6522961574507966,0.6845289541918754,0.4143670608848007,0.5858585858585859,0.7357293868921776,-0.10329109074576837
