feature_set,n_features,source,target,distance,model,auc
E_rich_engagement,11,oulad_DDD_2013J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8077821594944883
E_rich_engagement,11,oulad_DDD_2013J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8007713940760983
E_rich_engagement,11,oulad_DDD_2013J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8432345826733696
E_rich_engagement,11,oulad_DDD_2014B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.863424502513913
E_rich_engagement,11,oulad_DDD_2014B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8496669015437832
E_rich_engagement,11,oulad_DDD_2014B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8498972244388485
E_rich_engagement,11,oulad_DDD_2014B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8458154392056532
E_rich_engagement,11,oulad_DDD_2014B,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.8231881907870336
E_rich_engagement,11,oulad_DDD_2014B,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8444647967446954
E_rich_engagement,11,oulad_DDD_2014B,oulad_DDD_2014B,D0_within_cohort,gradient_boosting,0.8576278461748582
E_rich_engagement,11,oulad_DDD_2014B,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.845048531806692
E_rich_engagement,11,oulad_DDD_2014B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8240281637320479
E_rich_engagement,11,oulad_DDD_2014B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8657611118798334
E_rich_engagement,11,oulad_DDD_2014B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8575162122888065
E_rich_engagement,11,oulad_DDD_2014B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8943369373091844
E_rich_engagement,11,oulad_DDD_2014J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8466080259193998
E_rich_engagement,11,oulad_DDD_2014J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8467699058356287
E_rich_engagement,11,oulad_DDD_2014J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8442212810616623
E_rich_engagement,11,oulad_DDD_2014J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8141276041666667
E_rich_engagement,11,oulad_DDD_2014J,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.8138219222115075
E_rich_engagement,11,oulad_DDD_2014J,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8437099246106807
E_rich_engagement,11,oulad_DDD_2014J,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.855345052972509
E_rich_engagement,11,oulad_DDD_2014J,oulad_DDD_2014J,D0_within_cohort,gradient_boosting,0.8554498995893655
E_rich_engagement,11,oulad_DDD_2014J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7372476268935667
E_rich_engagement,11,oulad_DDD_2014J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8106752456067524
E_rich_engagement,11,oulad_DDD_2014J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.7884603567065016
E_rich_engagement,11,oulad_DDD_2014J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8451301850193972
E_rich_engagement,11,oulad_FFF_2013B,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8412708050205919
E_rich_engagement,11,oulad_FFF_2013B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.83995700147332
