cohort_id,institution,rule,n_students,auc,recall_at_flag20,cutoff
oulad_BBB_2013J,OULAD,cum_clicks,2237,0.8206428960348472,0.37682403433476397,f33
oulad_BBB_2013J,OULAD,active_weeks,2237,0.8520678527961054,0.37682403433476397,f33
oulad_BBB_2013J,OULAD,weeks_since_active,2237,0.8523152744859395,0.3776824034334764,f33
oulad_BBB_2014B,OULAD,cum_active_days,1613,0.832315927727977,0.36455981941309257,f33
oulad_BBB_2014B,OULAD,cum_clicks,1613,0.8305817841961614,0.36455981941309257,f33
oulad_BBB_2014B,OULAD,active_weeks,1613,0.8559721605534355,0.36455981941309257,f33
oulad_BBB_2014B,OULAD,weeks_since_active,1613,0.8414221218961626,0.36455981941309257,f33
oulad_BBB_2014J,OULAD,cum_active_days,2292,0.828445952119883,0.39473684210526316,f33
oulad_BBB_2014J,OULAD,cum_clicks,2292,0.8242830927144251,0.39035087719298245,f33
oulad_BBB_2014J,OULAD,active_weeks,2292,0.8512084247076024,0.39824561403508774,f33
oulad_BBB_2014J,OULAD,weeks_since_active,2292,0.8491646868908382,0.4,f33
oulad_CCC_2014B,OULAD,cum_active_days,1936,0.8573902338746846,0.3040062843676355,f33
oulad_CCC_2014B,OULAD,cum_clicks,1936,0.8479885639674928,0.3040062843676355,f33
oulad_CCC_2014B,OULAD,active_weeks,1936,0.875385515859616,0.3040062843676355,f33
oulad_CCC_2014B,OULAD,weeks_since_active,1936,0.8584210407832237,0.3040062843676355,f33
oulad_CCC_2014J,OULAD,cum_active_days,2498,0.8267853405923954,0.327714093054619,f33
oulad_CCC_2014J,OULAD,cum_clicks,2498,0.8104169088752994,0.3310856372218476,f33
oulad_CCC_2014J,OULAD,active_weeks,2498,0.8534597357905191,0.3344571813890762,f33
oulad_CCC_2014J,OULAD,weeks_since_active,2498,0.8338715624366797,0.3351314902225219,f33
oulad_DDD_2013B,OULAD,cum_active_days,1303,0.8170969018124273,0.32786885245901637,f33
oulad_DDD_2013B,OULAD,cum_clicks,1303,0.7917488811413596,0.3253467843631778,f33
oulad_DDD_2013B,OULAD,active_weeks,1303,0.8286069282694162,0.32786885245901637,f33
