cohort_id,institution,n_students,rule_days_auc,rule_days_recall,rule_best_auc,rule_best_name,local_auc,local_recall,transferred_auc,transferred_recall,local_gain_over_rule,transferred_gain_over_rule,cutoff
oviedo_C2607_1415,Oviedo,277,0.48146655922643034,0.18627450980392157,0.496273166800967,active_weeks,0.451248992747784,0.2009803921568627,0.4805131832917939,0.193000455996352,-0.03021756647864632,-0.0009533759346364579,f33
oviedo_C3022_1415,Oviedo,238,0.5573529411764706,0.25,0.5856833910034602,weeks_since_active,0.5347318339100346,0.1764705882352941,0.5348515329524423,0.21614227086183307,-0.022621107266435958,-0.022501408224028352,f33
oviedo_C3029_1415,Oviedo,231,0.5215619694397283,0.15789473684210525,0.5264006791171477,cum_clicks,0.4742784380305602,0.2236842105263158,0.5122645793027204,0.19951040391676858,-0.047283531409168134,-0.009297390137007921,f33
oviedo_C4189_1415,Oviedo,128,0.4876225490196079,0.25,0.48921568627450984,active_weeks,0.5012254901960784,0.2166666666666666,0.5003619471044232,0.2666666666666666,0.01360294117647054,0.012739398084815279,f33
oviedo_C4213_1415,Oviedo,140,0.6957522494245658,0.3559322033898305,0.6957522494245658,cum_active_days,0.5597405314919439,0.288135593220339,0.6257925906460922,0.29680725266062274,-0.1360117179326219,-0.06995965877847365,f33
oviedo_C836_1415,Oviedo,87,0.5705602536997886,0.25,0.57161733615222,cum_clicks,0.538583509513742,0.1363636363636363,0.5292295589753675,0.20771670190274838,-0.03197674418604657,-0.04133069472442108,f33
ukzn_ISTN101_2019,UKZN,1056,0.6809745213402474,0.3967391304347826,0.6809745213402474,cum_active_days,0.6696188173115277,0.3315217391304347,0.5635403052304611,0.27000462534690095,-0.01135570402871966,-0.11743421610978633,f33
ukzn_ISTN101_2020,UKZN,978,0.7478855912655696,0.46938775510204084,0.7500604116781265,active_weeks,0.7177456558511456,0.3877551020408163,0.6029578585894656,0.30916196265740337,-0.030139935414424057,-0.14492773267610404,f33
ukzn_ISTN101_2021,UKZN,741,0.8030973451327433,0.5714285714285714,0.8282530317928548,cum_clicks,0.7943999625415555,0.5079365079365079,0.6128348471127608,0.380952380952381,-0.008697382591187797,-0.19026249801998252,f33
ukzn_ISTN102_2018,UKZN,257,0.6689620292561469,0.3382352941176471,0.6689620292561469,cum_active_days,0.5453625894802365,0.2205882352941176,0.5492166133592917,0.24217772215269084,-0.12359943977591037,-0.11974541589685517,f33
ukzn_ISTN103_2019,UKZN,1113,0.6702931529315294,0.3,0.6702931529315294,cum_active_days,0.6532164821648216,0.3033333333333333,0.5613121875899609,0.24659574468085102,-0.017076670766707713,-0.10898096534156843,f33
ukzn_ISTN103_2020,UKZN,1082,0.6955262802931523,0.4,0.6955262802931523,cum_active_days,0.6516613461624926,0.3565217391304348,0.5569219966575052,0.25161887141535616,-0.04386493413065973,-0.13860428363564714,f33
ukzn_ISTN211_2019,UKZN,280,0.7689050211736237,0.5263157894736842,0.7773744706594071,active_weeks,0.7341197822141561,0.4736842105263157,0.5830061826123145,0.32026875699888013,-0.03478523895946761,-0.18589883856130918,f33
ukzn_ISTN211_2021,UKZN,327,0.810910815939279,0.4117647058823529,0.8319734345351044,cum_clicks,0.802371916508539,0.6470588235294118,0.6244579918446445,0.3754693366708385,-0.008538899430740043,-0.1864528240946346,f33
ukzn_ISTN212_2018,UKZN,238,0.7569704779756327,0.38636363636363635,0.7569704779756327,cum_active_days,0.6538191190253047,0.2954545454545454,0.5999795609084927,0.30029013539651833,-0.10315135895032801,-0.15699091706713997,f33
ukzn_ISTN212_2019,UKZN,264,0.7815851565851566,0.42857142857142855,0.7815851565851566,cum_active_days,0.6991634491634491,0.4047619047619047,0.5837440784249295,0.3019250253292806,-0.08242170742170751,-0.1978410781602271,f33
ukzn_ISTN2IP_2018,UKZN,99,0.7224324324324325,0.28,0.7559459459459459,cum_clicks,0.8137837837837838,0.52,0.5725531914893617,0.23574468085106384,0.0913513513513513,-0.1498792409430708,f33
